,datum,tmax_c,windsnelheid_kmh,neerslag_mm,snow,Start Date,gemiddelde_duur,aantal_ritjes,mediane_duur,dag_van_de_week
0,2021-01-01,2.2,9.2,0.0,0.0,2021-01-01,29.2,10826,19,Friday
1,2021-01-02,2.5,11.2,0.0,0.0,2021-01-02,29.5,17313,19,Saturday
2,2021-01-03,3.0,13.7,0.6,0.0,2021-01-03,28.6,13448,19,Sunday
3,2021-01-04,2.8,20.4,2.6,0.0,2021-01-04,18.7,10271,14,Monday
4,2021-01-05,1.9,19.2,2.2,0.0,2021-01-05,16.8,9424,14,Tuesday
5,2021-01-06,2.7,13.6,1.7,0.0,2021-01-06,20.2,12234,15,Wednesday
6,2021-01-07,-0.3,10.1,0.0,0.0,2021-01-07,20.2,12446,14,Thursday
7,2021-01-08,1.0,6.8,0.0,0.0,2021-01-08,20.2,11257,14,Friday
8,2021-01-09,1.4,7.2,0.0,0.0,2021-01-09,28.4,19459,19,Saturday
9,2021-01-10,2.5,9.1,0.0,0.0,2021-01-10,27.7,13641,18,Sunday
10,2021-01-11,7.4,20.1,0.9,0.0,2021-01-11,19.6,11550,14,Monday
11,2021-01-12,8.6,15.7,2.9,0.0,2021-01-12,18.0,11607,14,Tuesday
12,2021-01-13,6.8,8.8,3.6,0.0,2021-01-13,17.5,8509,14,Wednesday
13,2021-01-14,6.8,13.9,26.0,0.0,2021-01-14,17.1,6672,13,Thursday
14,2021-01-15,2.4,8.3,0.0,0.0,2021-01-15,20.4,13846,15,Friday
15,2021-01-16,6.3,16.4,8.8,0.0,2021-01-16,25.2,12171,17,Saturday
16,2021-01-17,5.6,15.6,0.3,0.0,2021-01-17,30.5,24580,21,Sunday
17,2021-01-18,7.4,14.4,0.7,0.0,2021-01-18,20.8,12843,14,Monday
18,2021-01-19,10.4,28.2,4.4,0.0,2021-01-19,18.9,12569,14,Tuesday
19,2021-01-20,10.0,30.2,3.1,0.0,2021-01-20,18.0,9116,14,Wednesday
20,2021-01-21,8.1,24.0,2.2,0.0,2021-01-21,20.8,14950,15,Thursday
21,2021-01-22,5.9,10.2,1.3,0.0,2021-01-22,22.9,16664,16,Friday
22,2021-01-23,2.8,10.0,0.2,0.0,2021-01-23,29.2,24130,20,Saturday
23,2021-01-24,0.5,11.7,2.8,20.0,2021-01-24,23.3,6559,15,Sunday
24,2021-01-25,2.8,15.1,0.2,20.0,2021-01-25,20.5,13123,15,Monday
25,2021-01-26,5.5,12.5,2.8,10.0,2021-01-26,17.5,10762,14,Tuesday
26,2021-01-27,8.5,10.0,2.2,0.0,2021-01-27,19.4,12379,14,Wednesday
27,2021-01-28,12.3,18.9,14.9,0.0,2021-01-28,21.0,13621,15,Thursday
28,2021-01-29,9.8,20.8,7.6,0.0,2021-01-29,22.2,14652,15,Friday
29,2021-01-30,7.1,19.6,17.1,0.0,2021-01-30,22.2,7822,15,Saturday
30,2021-01-31,2.9,15.7,3.4,0.0,2021-01-31,28.0,16502,19,Sunday
31,2021-02-01,4.0,10.9,0.2,0.0,2021-02-01,19.9,12413,14,Monday
32,2021-02-02,11.4,17.2,6.2,0.0,2021-02-02,19.0,14250,15,Tuesday
33,2021-02-03,8.7,13.7,7.0,0.0,2021-02-03,20.2,12880,14,Wednesday
34,2021-02-04,7.7,11.1,3.1,0.0,2021-02-04,18.6,11055,14,Thursday
35,2021-02-05,8.6,8.9,0.8,0.0,2021-02-05,24.3,19269,16,Friday
36,2021-02-06,6.0,10.9,12.3,0.0,2021-02-06,26.6,18833,18,Saturday
37,2021-02-07,2.9,26.2,7.8,0.0,2021-02-07,22.2,6195,14,Sunday
38,2021-02-08,-1.5,21.2,1.3,0.0,2021-02-08,16.1,6631,13,Monday
39,2021-02-09,-1.6,14.3,0.3,0.0,2021-02-09,16.0,7156,13,Tuesday
40,2021-02-10,-1.1,12.9,0.0,0.0,2021-02-10,18.9,11588,14,Wednesday
41,2021-02-11,-1.8,11.6,0.0,0.0,2021-02-11,17.5,11019,13,Thursday
42,2021-02-12,-1.5,16.9,0.0,0.0,2021-02-12,18.7,11735,13,Friday
43,2021-02-13,-1.9,17.4,0.0,0.0,2021-02-13,25.9,15737,17,Saturday
44,2021-02-14,3.9,20.4,0.8,0.0,2021-02-14,28.2,13838,18,Sunday
45,2021-02-15,10.6,15.3,0.7,0.0,2021-02-15,22.7,13312,15,Monday
46,2021-02-16,9.4,18.1,1.6,0.0,2021-02-16,19.2,12162,14,Tuesday
47,2021-02-17,9.8,21.4,3.2,0.0,2021-02-17,20.4,12813,14,Wednesday
48,2021-02-18,8.6,20.2,2.0,0.0,2021-02-18,22.0,16085,15,Thursday
49,2021-02-19,9.6,19.4,0.4,0.0,2021-02-19,23.0,17389,15,Friday
50,2021-02-20,13.1,21.8,0.1,0.0,2021-02-20,33.4,39325,21,Saturday
51,2021-02-21,13.5,12.0,0.0,0.0,2021-02-21,33.8,33108,21,Sunday
52,2021-02-22,11.0,9.6,0.5,0.0,2021-02-22,19.8,13787,15,Monday
53,2021-02-23,12.2,19.9,0.0,0.0,2021-02-23,22.3,21344,16,Tuesday
54,2021-02-24,13.6,20.7,0.0,0.0,2021-02-24,23.3,22017,16,Wednesday
55,2021-02-25,10.9,11.0,0.0,0.0,2021-02-25,20.7,18263,15,Thursday
56,2021-02-26,10.4,7.3,0.0,0.0,2021-02-26,28.2,29259,18,Friday
57,2021-02-27,10.8,7.3,0.0,0.0,2021-02-27,37.2,51665,23,Saturday
58,2021-02-28,9.3,11.6,0.0,0.0,2021-02-28,33.4,30961,21,Sunday
59,2021-03-01,9.7,13.9,0.0,0.0,2021-03-01,21.9,17999,15,Monday
60,2021-03-02,10.7,10.2,0.0,0.0,2021-03-02,21.0,18909,16,Tuesday
61,2021-03-03,10.2,7.5,2.5,0.0,2021-03-03,18.9,12279,13,Wednesday
62,2021-03-04,6.4,13.0,1.8,0.0,2021-03-04,20.4,15350,14,Thursday
63,2021-03-05,5.3,13.7,0.0,0.0,2021-03-05,22.3,20109,15,Friday
64,2021-03-06,5.1,9.0,0.0,0.0,2021-03-06,30.5,30451,20,Saturday
65,2021-03-07,4.6,7.4,0.0,0.0,2021-03-07,30.7,28530,20,Sunday
66,2021-03-08,7.9,7.7,0.1,0.0,2021-03-08,22.1,18357,15,Monday
67,2021-03-09,10.8,11.8,0.0,0.0,2021-03-09,23.2,25222,17,Tuesday
68,2021-03-10,9.6,27.2,7.6,0.0,2021-03-10,18.1,11122,13,Wednesday
69,2021-03-11,10.6,37.0,0.9,0.0,2021-03-11,19.0,16638,14,Thursday
70,2021-03-12,9.0,27.9,0.8,0.0,2021-03-12,21.0,18774,14,Friday
71,2021-03-13,8.7,31.9,3.1,0.0,2021-03-13,28.2,23805,18,Saturday
72,2021-03-14,9.4,24.2,1.3,0.0,2021-03-14,27.1,21734,19,Sunday
73,2021-03-15,10.8,17.4,0.9,0.0,2021-03-15,19.4,16296,14,Monday
74,2021-03-16,12.2,16.0,1.6,0.0,2021-03-16,18.8,18664,14,Tuesday
75,2021-03-17,8.6,14.1,1.4,0.0,2021-03-17,20.2,18700,15,Wednesday
76,2021-03-18,7.4,15.5,2.7,0.0,2021-03-18,18.5,16711,14,Thursday
77,2021-03-19,8.6,15.8,0.3,0.0,2021-03-19,23.6,26498,16,Friday
78,2021-03-20,8.9,8.9,0.0,0.0,2021-03-20,33.4,34439,20,Saturday
79,2021-03-21,9.5,13.1,0.1,0.0,2021-03-21,31.2,32503,20,Sunday
80,2021-03-22,10.8,8.2,0.0,0.0,2021-03-22,23.9,24958,16,Monday
81,2021-03-23,10.4,12.5,0.0,0.0,2021-03-23,21.0,23686,16,Tuesday
82,2021-03-24,11.0,12.1,0.0,0.0,2021-03-24,21.4,22725,15,Wednesday
83,2021-03-25,11.5,15.6,0.7,0.0,2021-03-25,20.6,20325,15,Thursday
84,2021-03-26,10.3,21.9,2.8,0.0,2021-03-26,21.2,17349,14,Friday
85,2021-03-27,9.4,22.4,0.0,0.0,2021-03-27,33.6,39616,21,Saturday
86,2021-03-28,12.7,13.0,0.0,0.0,2021-03-28,30.0,23591,19,Sunday
87,2021-03-29,17.0,19.7,0.0,0.0,2021-03-29,27.1,34153,18,Monday
88,2021-03-30,20.8,9.3,0.0,0.0,2021-03-30,31.3,49114,19,Tuesday
89,2021-03-31,21.3,8.7,0.0,0.0,2021-03-31,30.0,39827,18,Wednesday
90,2021-04-01,13.4,16.8,0.0,0.0,2021-04-01,27.5,35913,17,Thursday
91,2021-04-02,9.0,18.8,0.0,0.0,2021-04-02,34.9,38420,21,Friday
92,2021-04-03,7.8,17.8,0.0,0.0,2021-04-03,34.0,33390,21,Saturday
93,2021-04-04,12.9,11.1,0.0,0.0,2021-04-04,39.5,46710,23,Sunday
94,2021-04-05,6.6,20.7,0.1,0.0,2021-04-05,31.2,26358,19,Monday
95,2021-04-06,5.1,16.4,0.2,0.0,2021-04-06,23.2,21920,16,Tuesday
96,2021-04-07,5.9,13.4,0.0,0.0,2021-04-07,25.4,24083,16,Wednesday
97,2021-04-08,9.6,14.6,0.0,0.0,2021-04-08,26.2,26700,17,Thursday
98,2021-04-09,10.2,12.0,1.0,0.0,2021-04-09,27.6,29959,17,Friday
99,2021-04-10,6.0,14.6,0.1,0.0,2021-04-10,29.2,23299,18,Saturday
100,2021-04-11,7.5,14.4,0.3,0.0,2021-04-11,30.5,30909,20,Sunday
101,2021-04-12,8.0,8.3,0.8,0.0,2021-04-12,21.3,28239,15,Monday
102,2021-04-13,10.0,7.2,0.2,0.0,2021-04-13,20.1,28780,15,Tuesday
103,2021-04-14,9.8,9.0,0.0,0.0,2021-04-14,21.9,30459,14,Wednesday
104,2021-04-15,7.7,12.6,2.8,0.0,2021-04-15,20.0,25770,14,Thursday
105,2021-04-16,8.9,9.3,0.0,0.0,2021-04-16,23.6,33463,15,Friday
106,2021-04-17,10.9,9.5,0.0,0.0,2021-04-17,29.5,42437,18,Saturday
107,2021-04-18,11.9,6.9,0.0,0.0,2021-04-18,29.3,35886,19,Sunday
108,2021-04-19,15.1,6.9,0.0,0.0,2021-04-19,20.7,29758,15,Monday
109,2021-04-20,15.0,6.5,0.0,0.0,2021-04-20,22.9,34859,15,Tuesday
110,2021-04-21,12.7,13.2,0.3,0.0,2021-04-21,19.1,29782,14,Wednesday
111,2021-04-22,12.2,13.1,0.0,0.0,2021-04-22,19.4,31761,14,Thursday
112,2021-04-23,14.3,13.9,0.0,0.0,2021-04-23,21.0,34275,15,Friday
113,2021-04-24,14.6,15.1,0.0,0.0,2021-04-24,29.1,44735,19,Saturday
114,2021-04-25,11.0,18.3,0.0,0.0,2021-04-25,26.2,29313,17,Sunday
115,2021-04-26,10.8,14.7,0.0,0.0,2021-04-26,18.0,25919,13,Monday
116,2021-04-27,13.5,6.8,0.0,0.0,2021-04-27,17.2,30175,14,Tuesday
117,2021-04-28,10.5,15.7,1.7,0.0,2021-04-28,16.1,21646,12,Wednesday
118,2021-04-29,10.2,14.6,0.1,0.0,2021-04-29,17.3,27348,13,Thursday
119,2021-04-30,10.7,7.8,0.4,0.0,2021-04-30,19.1,28544,14,Friday
120,2021-05-01,10.8,8.6,1.4,0.0,2021-05-01,27.6,34215,17,Saturday
121,2021-05-02,11.7,7.5,0.5,0.0,2021-05-02,27.9,30248,17,Sunday
122,2021-05-03,11.0,23.4,6.5,0.0,2021-05-03,23.1,20842,15,Monday
123,2021-05-04,12.0,32.5,2.6,0.0,2021-05-04,15.8,22037,13,Tuesday
124,2021-05-05,10.4,14.2,4.7,0.0,2021-05-05,17.1,22623,13,Wednesday
125,2021-05-06,10.0,9.7,1.1,0.0,2021-05-06,17.4,26986,13,Thursday
126,2021-05-07,12.0,13.7,0.0,0.0,2021-05-07,19.4,30945,14,Friday
127,2021-05-08,14.9,19.9,10.2,0.0,2021-05-08,23.6,22181,15,Saturday
128,2021-05-09,18.2,17.7,1.4,0.0,2021-05-09,26.7,34038,18,Sunday
129,2021-05-10,15.2,18.5,2.4,0.0,2021-05-10,17.3,25958,13,Monday
130,2021-05-11,14.2,12.5,1.9,0.0,2021-05-11,17.2,30218,14,Tuesday
131,2021-05-12,14.8,13.4,0.4,0.0,2021-05-12,18.3,31444,14,Wednesday
132,2021-05-13,11.8,12.0,7.3,0.0,2021-05-13,17.7,24491,13,Thursday
133,2021-05-14,12.1,11.9,0.0,0.0,2021-05-14,20.2,31337,14,Friday
134,2021-05-15,11.0,9.8,2.9,0.0,2021-05-15,24.1,28456,16,Saturday
135,2021-05-16,12.8,12.0,6.7,0.0,2021-05-16,22.2,17532,15,Sunday
136,2021-05-17,13.8,12.5,4.5,0.0,2021-05-17,15.8,20840,12,Monday
137,2021-05-18,13.8,12.1,3.1,0.0,2021-05-18,16.4,27365,13,Tuesday
138,2021-05-19,14.0,12.5,3.6,0.0,2021-05-19,17.3,29252,13,Wednesday
139,2021-05-20,12.7,19.8,0.4,0.0,2021-05-20,16.2,26977,13,Thursday
140,2021-05-21,12.8,36.7,1.2,0.0,2021-05-21,16.3,21267,12,Friday
141,2021-05-22,12.5,16.7,2.7,0.0,2021-05-22,23.5,29658,16,Saturday
142,2021-05-23,12.1,19.1,5.4,0.0,2021-05-23,22.8,21889,15,Sunday
143,2021-05-24,11.6,15.1,3.2,0.0,2021-05-24,16.3,21118,12,Monday
144,2021-05-25,13.6,18.6,0.8,0.0,2021-05-25,16.2,28822,13,Tuesday
145,2021-05-26,13.5,13.5,0.4,0.0,2021-05-26,17.7,32202,13,Wednesday
146,2021-05-27,17.9,8.4,0.0,0.0,2021-05-27,19.4,37454,14,Thursday
147,2021-05-28,17.6,8.1,0.5,0.0,2021-05-28,19.8,32597,14,Friday
148,2021-05-29,18.6,10.6,0.1,0.0,2021-05-29,26.8,49254,18,Saturday
149,2021-05-30,18.5,12.1,0.0,0.0,2021-05-30,30.8,47187,19,Sunday
150,2021-05-31,22.3,12.4,0.0,0.0,2021-05-31,31.8,52517,20,Monday
151,2021-06-01,23.8,14.3,0.0,0.0,2021-06-01,23.3,45240,16,Tuesday
152,2021-06-02,24.1,13.0,0.3,0.0,2021-06-02,23.5,45639,16,Wednesday
153,2021-06-03,23.0,11.4,0.0,0.0,2021-06-03,23.2,46546,16,Thursday
154,2021-06-04,16.3,12.1,9.7,0.0,2021-06-04,19.1,22527,13,Friday
155,2021-06-05,21.2,9.8,0.0,0.0,2021-06-05,27.7,56186,18,Saturday
156,2021-06-06,20.4,8.3,0.3,0.0,2021-06-06,26.4,41085,18,Sunday
157,2021-06-07,21.9,9.0,0.7,0.0,2021-06-07,20.6,39140,15,Monday
158,2021-06-08,22.7,9.0,0.0,0.0,2021-06-08,19.8,43935,15,Tuesday
159,2021-06-09,23.9,12.5,0.0,0.0,2021-06-09,20.9,46138,15,Wednesday
160,2021-06-10,22.7,13.8,0.0,0.0,2021-06-10,20.0,43975,15,Thursday
161,2021-06-11,22.7,16.1,0.0,0.0,2021-06-11,20.7,43758,15,Friday
162,2021-06-12,22.8,11.9,0.0,0.0,2021-06-12,26.9,55675,18,Saturday
163,2021-06-13,26.1,8.4,0.0,0.0,2021-06-13,27.4,48062,18,Sunday
164,2021-06-14,26.8,11.7,0.2,0.0,2021-06-14,20.9,40609,15,Monday
165,2021-06-15,22.9,12.1,0.0,0.0,2021-06-15,18.8,43461,14,Tuesday
166,2021-06-16,26.9,10.8,2.9,0.0,2021-06-16,20.1,43625,15,Wednesday
167,2021-06-17,21.3,10.1,15.0,0.0,2021-06-17,17.9,29759,13,Thursday
168,2021-06-18,16.5,19.0,23.0,0.0,2021-06-18,18.2,18860,12,Friday
169,2021-06-19,17.3,11.1,0.9,0.0,2021-06-19,23.4,35310,16,Saturday
170,2021-06-20,17.6,11.6,2.4,0.0,2021-06-20,22.9,28567,16,Sunday
171,2021-06-21,12.6,19.3,5.7,0.0,2021-06-21,16.4,20137,12,Monday
172,2021-06-22,13.9,19.4,0.4,0.0,2021-06-22,16.9,34872,13,Tuesday
173,2021-06-23,18.4,9.7,0.0,0.0,2021-06-23,19.4,41913,14,Wednesday
174,2021-06-24,19.7,8.8,1.3,0.0,2021-06-24,19.2,40273,14,Thursday
175,2021-06-25,18.6,11.0,5.4,0.0,2021-06-25,19.9,38911,14,Friday
176,2021-06-26,20.4,10.1,0.0,0.0,2021-06-26,25.9,49437,17,Saturday
177,2021-06-27,19.9,16.6,9.7,0.0,2021-06-27,23.9,29547,16,Sunday
178,2021-06-28,20.0,11.7,5.7,0.0,2021-06-28,18.7,28491,13,Monday
179,2021-06-29,16.5,14.8,4.1,0.0,2021-06-29,16.3,31218,13,Tuesday
180,2021-06-30,16.3,11.4,0.7,0.0,2021-06-30,18.6,36578,14,Wednesday
181,2021-07-01,19.2,8.6,0.0,0.0,2021-07-01,19.7,41273,14,Thursday
